L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",Sales Playbooks & Guidance Enablement,Provide structured playbooks and guidance to support selling.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Activity Mgmt,"Enable and guide sales teams with playbooks, tools, and channel execution.",Sales account meeting preparation / Quarterly Business Reviews(QBRs),"Preparing sales meeting materials for client meetings / QBRs, includes consolidating data, creating insights and recommendations"
Learn,Business Commercialization,Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",Campaign Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,Business Commercialization,Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",Campaign Execution & Refinement,Run campaigns and adjust based on performance and feedback.
Learn,Business Commercialization,Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",Campaign Performance Tracking,Track campaign outcomes and measure effectiveness.
Learn,Business Commercialization,Campaign Mgmt,"Plan, execute, and track marketing campaigns to generate demand and measure impact.",Campaign Planning & Budgeting,Plan campaigns and allocate budgets for marketing initiatives.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Lead Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Lead Nurture,Build engagement with leads through ongoing communication.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Lead Personalization,Tailor messaging and offers to individual lead preferences.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Marketing Prospect Mgmt,Manage marketing prospects before they are converted into leads.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Lead Capture & Routing,Capture leads and route them to the right systems or teams.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",Lead Qualification,Assess leads to determine readiness for sales engagement.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",Sales Opportunity Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",Funnel Tracking,Track sales opportunities through the funnel stages.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",Opportunity Management,Manage and advance opportunities toward closure.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",Discovery Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",Discovery Personalization,Personalize discovery sessions to align with customer needs.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",Search Enablement,Enable search of data and resources to support discovery.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",Discovery Engagement,Engage customers in discovery discussions and activities.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",Customer Inventory Interop Validation,Validate customer inventory data across systems for accuracy.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Qualification Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Service Availability,Verify if services are available at the customer location.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Address Validation,Confirm customer address details for qualification.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Network and Fiber Intelligence,Provide network and fiber availability insights for qualification.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Feasibility & Site Survey,Conduct feasibility checks and site surveys for service delivery.
Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",Capacity & Coverage Planning,Plan capacity and coverage to meet customer requirements.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Evaluation,Assess customer credit-worthiness before order processing.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Submission,Submit customer credit information for review.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Status,Track the progress and outcome of credit checks.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Decision,Approve or reject based on credit evaluation results.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Expedite,Fast-track urgent credit check requests.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",Credit Check Escalation,Escalate unresolved or delayed credit check issues.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Order Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Quote Calculation,Generate pricing quotes based on customer requirements.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Definition / Rate Element Mgmt,Define and manage pricing elements and rate structures.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Tier Mgmt,Manage pricing tiers across different customer segments.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Discount Mgmt,Apply and manage discounts within pricing rules.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Change Mgmt,Track and implement pricing changes or updates.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",E-Rate Program Mgmt,Manage E-Rate program pricing and compliance.
Buy,Product & Pricing,Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",Pricing Mgmt – Reporting & Analytics,Report on and analyze pricing performance and trends.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Quotation & Proposal / RFP Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Solution Proposal Development & Presentation,Develop and present solution proposals to customers.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Solution Proposal Response,Prepare and deliver responses to proposals or bids.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Solution Proposal Storage / Retrieval,Store and retrieve solution proposals for reference.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Solution Proposal Reporting / Analytics,Track and analyze proposal effectiveness and outcomes.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",RFP/RFQ,Manage customer Requests for Proposal (RFPs) and Requests for Quote (RFQs).
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Quote-to-Order Conversion,Convert approved quotes into sales orders.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",Integrated Quote Management,Manage quotes across systems for consistency and accuracy.
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Contract Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Contract Generation,Draft and generate contracts based on agreed terms.
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Contract Execution,Execute contracts and ensure compliance with approvals.
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Contract Lifecycle Mgmt,Manage contracts throughout their lifecycle from creation to renewal.
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Contract Information Mgmt,Store and manage contract details and related documents.
Buy,Business Operations,Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",Template Mgmt,Create and maintain contract templates for reuse.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Sales Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Bulk Order Creation,Create multiple customer orders in bulk efficiently.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Order Data Collection,Collect and capture order-related information from customers.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Order Creation,Create individual sales orders for processing.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Order Validation,Validate order details for accuracy and completeness.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Order Submission,Submit validated orders into the system for processing.
Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",Order Handoff,Transfer orders to fulfillment or downstream systems.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Recommendation Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Solution Recommendation Validation,Validate recommended solutions for feasibility and fit.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Solution Comparison,Compare multiple solutions to identify best-fit options.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Cross-Sell / Up-Sell (Pro-Active),Proactively recommend add-ons or upgrades to customers.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Cross-Sell / Up-Sell (Reactive),Suggest cross-sell or up-sell options based on customer needs.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Solution Recommendation Integration,Integrate solution recommendations into sales workflows.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Competitor Solution Comparison,Compare customer options against competitor solutions.
Buy,Business Commercialization,Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",Offer Eligibility,Determine eligibility of offers for specific customers.
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Comm & Notification Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Communication & Notification Design,Design customer and partner communications and notifications.
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Communication & Notification Consent,Manage customer consent for receiving communications.
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Communication & Notification Generation,Generate communications and notifications at scale.
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Communication & Notification Delivery,Deliver communications and notifications through channels.
Buy,Business Commercialization,Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",Communication & Notification Tracking,Track communications for delivery and effectiveness.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Capture,Capture customer order details into the system.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Enrichment,Add missing data or enhancements to complete orders.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Validation,Verify accuracy and completeness of order information.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Status Mgmt,"Manage order status through validation, sequencing, suspension, or resumption."
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Due Date Commitment,Commit and track due dates for order delivery.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Modification (Supp),Handle order modifications and supplemental changes.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Cancellation,Cancel customer orders when requested or required.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Orchestration (Validation + Sequencing + Suspension + Resume),Coordinate and sequence order tasks across systems.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Fallout & Recovery Mgmt (Resolution / Fallout Flow / Routing),Resolve failed orders and manage fallout recovery.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Fulfillment Trigger,Initiate fulfillment processes from order milestones.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Equipment Trigger,Trigger equipment processes linked to orders.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Test & Turn-Up Trigger,Trigger test and turn-up activities for services.
Get,Business Operations,Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",Order Bill Trigger,Trigger billing once the order is fulfilled.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Provisioning Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Coordinate Number Porting,Manage number porting requests with external providers.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Provision Solution,Configure and provision services for customer solutions.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Equipment Order Management,Manage orders for customer equipment procurement.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Equipment Configuration,Configure equipment for service activation.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Equipment Installation (crossed out in slide),[Deprecated – removed from scope] Install and set up customer equipment as part of service provisioning
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Scheduling Activation Mgmt,Schedule activation of services with customer timelines.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Solution Activation Mgmt,Activate services and confirm solution readiness.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Test & Turn Up (TTU) Coordination,Coordinate testing and turn-up tasks with delivery teams.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Test & Turn Up (TTU),Perform service test and turn-up activities.
Get,Business Operations,Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",Solution Testing & Acceptance Monitoring (TTU),Monitor solution testing and confirm customer acceptance.
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Logistics & Distribution Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3PL Management,Manage third-party logistics providers for delivery.
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Warehouse & Spares Management,"Manage warehousing, spare parts, and inventory."
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Pick / Pack / Ship,"Handle picking, packing, and shipping of goods."
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Returns & Disposal Management,Manage product returns and disposal processes.
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Logistics Tracking & Visibility Management,Provide tracking and visibility of logistics activities.
Get,Business Operations,Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",Reverse Logistics & RMA Management,Manage reverse logistics and return merchandise authorizations.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Field Installation & Construction Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Work Order Management,Manage work orders for installation and construction tasks.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Scheduling & Dispatch Management,Schedule and dispatch field technicians for jobs.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Permitting & Special Construction Management,Handle permitting and special construction requirements.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",On-Site Installation & Testing Mgmt,Perform on-site installation and testing activities.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Installation Verification & Completion Mgmt,Verify installation completion and service readiness.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Field Resource Tracking & Reporting,Track field resources and provide progress reporting.
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Field Workforce Mgmt,"Manage scheduling, assignments, and performance of field workforce."
Get,Business Operations,Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",Field Operations Management,Oversee daily field operations and escalations.
Get,Business Operations,Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",Resource & Governance Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",Workforce Capacity Planning & Forecasting,Plan and forecast workforce capacity for delivery needs.
Get,Business Operations,Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",Partner & Contractor Governance,Manage performance and compliance of partners and contractors.
Get,Business Operations,Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",Project Management,"Oversee delivery projects, timelines, and deliverables."
Get,Business Operations,Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",Design Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Get,Business Operations,Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",Customer Information & Requirement Mgmt,Collect and manage customer requirements for solution design.
Get,Business Operations,Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",Solution Demo & Trial,Provide solution demos and trials to validate design.
Get,Business Operations,Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",Integrated Solution Design,Create integrated solution designs across platforms and services.
Get,Business Operations,Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",Solution Design Help,Provide support and guidance for solution design activities.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Access & Security Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Portal Navigation Experience,Provide a simple and intuitive navigation experience for portal users.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Common Login,Enable a single login experience across systems and services.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Account Access Mgmt,Manage customer account-level access permissions.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",User Administration,"Create, update, and manage user profiles and roles."
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Function Access Mgmt,Control user access to specific features and functions.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Product Access Mgmt,Grant and manage access rights for specific products or services.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Profile Mgmt,Manage user profile information and preferences.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Portal Access Registration,Register users and enable access to the customer portal.
Use,Business Operations,Access & Security Management,"Manage user access, authentication, and security for portals and products.",Consent Policy & Preference Setup,"Capture and manage user consent, policies, and communication preferences."
Use,Business Operations,Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,Customer Portal & Dashboard Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Use,Business Operations,Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,Dashboard Configuration,Configure dashboards to display customer-selected views and data.
Use,Business Operations,Customer Portal & Dashboard Management,Configure dashboards and provide analytics for visibility and control.,Performance Analytics,Provide performance analytics and insights through dashboards.
Use,Business Operations,Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",Training & Tutorials Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Use,Business Operations,Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",Help,Deliver help content and support tools for customers.
Use,Business Operations,Training & Tutorials Management,"Deliver training, help content, and knowledge resources for seller & customer enablement.",Knowledge Base & Script Readiness,Provide a searchable knowledge base and ready-to-use scripts.
Pay,Business Operations,Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",Account Pricing Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",Usage & Rating Mgmt,Manage customer usage data and apply rating rules for billing.
Pay,Business Operations,Account Pricing Mgmt,"Manage customer usage, rating, and discount structures for billing.",Discount Management,Apply and track discounts on customer accounts.
Pay,Business Operations,Billing Comms Mgmt,Create and deliver billing statements and communication content.,Billing Comms Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
Pay,Business Operations,Billing Comms Mgmt,Create and deliver billing statements and communication content.,Billing Delivery Management,Deliver billing statements through chosen channels.
