Domain_Name Component,Domain_ID Qualifier,SubDomain_Name Component,SubDomain_ID Qualifier,SRT_ID Qualifier,Bus_Cap Component,Cap_Bus_ID Qualifier,bus_cap_notes Qualifier,Bus_Cap_Detail Qualifier,Scope_Type Qualifier,Intake_Status Qualifier
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,19,Voluntary Suspend Enhancements,1003,NULL,"Address gaps in ability to move to reduced rate, communications and bill display",BSSe AIA Acceleration,Completed
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
Customer / CRM,103,Account Management,1020,14,New York State Use of Preferred Name and Pronoun Legislation,1004,NULL,"This bill will require utilities and telephone service providers to allow customers to use their preferred name and/or preferred pronouns in all written or oral communications between the telephone service provider and the customer, as well as all statements or documentation relating to a customer's telephone service, regardless of whether such customer's preferred name differs from their current legal name. If a customer's preferred name differs from their current legal name, a telephone service provider may require such customer to provide reasonable proof of identity using their legal name, provided that such information shall be used solely to verify the customer's identity or for other purposes required by law.",NULL,Combined Scope
"Mediation, Billing, & Revenue Management",110,Remittance (Payments),1050,44,ABP Selection,1005,NULL,ABP Selection (customer ability to select ABP draft date),NULL,No Longer Pursuing
Care,101,Bill Adjustments,1006,21,Pre-Bill adjustments,1006,NULL,Hassle Free Fixed Debt_x000D_  Pre-Bill Adjustments (Audit & Pending Charges)- bulk and individual,NULL,No Longer Pursuing
"Mediation, Billing, & Revenue Management",110,Credit,1045,106,Credit Debt and Credit Rules,1007,NULL,"Enhancements to legacy ordering tools to collect AIA debt.  Enhancements to credit rules to address multiple products on BSSe     Existing AIA customers with outstanding debt (past due balance) who are placing an order for a new product (i.e. wireless), via Salesforce, Opus or online will be prompted to pay outstanding debt in the new product order flow.      For sales orders that trigger Analyst Review due to outstanding debt (past due amount), the Credit & Activations agent may adjust the outstanding debt amount and allow the sales order to continue after a credit ""refresh"" is performed. ",NULL,Backlog
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Supply Chain Management,108,Fulfillment,1037,61,Supply Chain: Substitution logic,1008,NULL,"Supply Chain (Leilani Camacho) - Substitution logic.   The ability to offer an alternative equipment if its out of stock.  This includes the addition of other suppliers because even though the equipment may be the same form, fit, and function; it still requires definition and is considered an alternate piece of equipment in supply chain.",BSSe AIA Acceleration,Prioritized
Care,101,Technical Resolution,1011,138,TS: Post-Install incl Drop Ship & Tech Repair Appt,1009,NULL,Fiber Troubleshooting (Repair):   Repair:  Customers and agents will have access to a range of information and data to troubleshooting connectivity issues including but not limited to:_x000D_   - Current Line status & history_x000D_   - Speed tests_x000D_   - WIFI connectivity & device,Fiber CSI,No Longer Pursuing
