L0 Component,L0 Component  Business Unit Alignment,L1 Component,L1 Component Description,L2 Capability  Component,L2 Capability  Component Description
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.01 Lead Nurture,Build engagement with leads through ongoing communication.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.02 Lead Personalization,Tailor messaging and offers to individual lead preferences.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.03 Marketing Prospect Mgmt,Manage marketing prospects before they are converted into leads.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.04 Lead Capture & Routing,Capture leads and route them to the right systems or teams.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.06 Lead Mgmt,"Capture, nurture, personalize, and qualify leads to build a healthy sales pipeline.",1.06.05 Lead Qualification,Assess leads to determine readiness for sales engagement.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.07 Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",1.07.00 Sales Opportunity Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.07 Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",1.07.01 Funnel Tracking,Track sales opportunities through the funnel stages.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.07 Sales Oppty. Mgmt,"Track, manage, and progress opportunities through the sales funnel.",1.07.02 Opportunity Management,Manage and advance opportunities toward closure.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.08 Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",1.08.00 Discovery Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.08 Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",1.08.01 Discovery Personalization,Personalize discovery sessions to align with customer needs.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.08 Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",1.08.02 Search Enablement,Enable search of data and resources to support discovery.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.08 Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",1.08.03 Discovery Engagement,Engage customers in discovery discussions and activities.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.08 Discovery Mgmt,"Personalize discovery, validate customer needs, and enable solution engagement.",1.08.04 Customer Inventory Interop Validation,Validate customer inventory data across systems for accuracy.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.00 Qualification Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.01 Service Availability,Verify if services are available at the customer location.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.02 Address Validation,Confirm customer address details for qualification.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.03 Network and Fiber Intelligence,Provide network and fiber availability insights for qualification.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.04 Feasibility & Site Survey,Conduct feasibility checks and site surveys for service delivery.
1. Learn,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",1.09 Qualification Mgmt,"Validate service availability, feasibility, and coverage to qualify opportunities.",1.09.05 Capacity & Coverage Planning,Plan capacity and coverage to meet customer requirements.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.00 Credit Check Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.01 Credit Check Evaluation,Assess customer credit-worthiness before order processing.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.02 Credit Check Submission,Submit customer credit information for review.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.03 Credit Check Status,Track the progress and outcome of credit checks.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.04 Credit Check Decision,Approve or reject based on credit evaluation results.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.05 Credit Check Expedite,Fast-track urgent credit check requests.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.01 Credit Check Mgmt,"Manage the evaluation, submission, and approval of customer credit checks.",2.01.06 Credit Check Escalation,Escalate unresolved or delayed credit check issues.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.00 Pricing Order Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.01 Pricing Quote Calculation,Generate pricing quotes based on customer requirements.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.02 Pricing Definition / Rate Element Mgmt,Define and manage pricing elements and rate structures.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.03 Pricing Tier Mgmt,Manage pricing tiers across different customer segments.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.04 Pricing Discount Mgmt,Apply and manage discounts within pricing rules.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.05 Pricing Change Mgmt,Track and implement pricing changes or updates.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.06 E-Rate Program Mgmt,Manage E-Rate program pricing and compliance.
2. Buy,Product & Pricing,2.02 Pricing Order Mgmt,"Define, calculate, and manage pricing quotes, discounts, and approvals.",2.02.07 Pricing Mgmt – Reporting & Analytics,Report on and analyze pricing performance and trends.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.00 Quotation & Proposal / RFP Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.01 Solution Proposal Development & Presentation,Develop and present solution proposals to customers.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.02 Solution Proposal Response,Prepare and deliver responses to proposals or bids.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.03 Solution Proposal Storage / Retrieval,Store and retrieve solution proposals for reference.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.04 Solution Proposal Reporting / Analytics,Track and analyze proposal effectiveness and outcomes.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.05 RFP/RFQ,Manage customer Requests for Proposal (RFPs) and Requests for Quote (RFQs).
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.06 Quote-to-Order Conversion,Convert approved quotes into sales orders.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.03 Quotation & Proposal / RFP Mgmt,"Create, store, and manage solution proposals, quotes, and RFP responses.",2.03.07 Integrated Quote Management,Manage quotes across systems for consistency and accuracy.
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.00 Contract Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.01 Contract Generation,Draft and generate contracts based on agreed terms.
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.02 Contract Execution,Execute contracts and ensure compliance with approvals.
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.03 Contract Lifecycle Mgmt,Manage contracts throughout their lifecycle from creation to renewal.
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.04 Contract Information Mgmt,Store and manage contract details and related documents.
2. Buy,Business Operations,2.04 Contract Mgmt,"Generate, execute, and manage the lifecycle of customer contracts.",2.04.05 Template Mgmt,Create and maintain contract templates for reuse.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.00 Sales Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.01 Bulk Order Creation,Create multiple customer orders in bulk efficiently.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.02 Order Data Collection,Collect and capture order-related information from customers.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.03 Order Creation,Create individual sales orders for processing.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.04 Order Validation,Validate order details for accuracy and completeness.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.05 Order Submission,Submit validated orders into the system for processing.
2. Buy,"Sales Teams (Enterprise, Mid-Market, & Partner Solutions/Indirect)",2.05 Sales Order Mgmt,"Capture, validate, and process customer sales orders through to handoff.",2.05.06 Order Handoff,Transfer orders to fulfillment or downstream systems.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.00 Recommendation Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.01 Solution Recommendation Validation,Validate recommended solutions for feasibility and fit.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.02 Solution Comparison,Compare multiple solutions to identify best-fit options.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.03 Cross-Sell / Up-Sell (Pro-Active),Proactively recommend add-ons or upgrades to customers.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.04 Cross-Sell / Up-Sell (Reactive),Suggest cross-sell or up-sell options based on customer needs.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.05 Solution Recommendation Integration,Integrate solution recommendations into sales workflows.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.06 Competitor Solution Comparison,Compare customer options against competitor solutions.
2. Buy,Business Commercialization,2.06 Recommendation Mgmt,"Create, validate, and compare solution recommendations for customers.",2.06.07 Offer Eligibility,Determine eligibility of offers for specific customers.
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.00 Comm & Notification Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.01 Communication & Notification Design,Design customer and partner communications and notifications.
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.02 Communication & Notification Consent,Manage customer consent for receiving communications.
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.03 Communication & Notification Generation,Generate communications and notifications at scale.
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.04 Communication & Notification Delivery,Deliver communications and notifications through channels.
2. Buy,Business Commercialization,2.07 Comm & Notification Mgmt,"Design, generate, deliver, and track customer and partner communications.",2.07.05 Communication & Notification Tracking,Track communications for delivery and effectiveness.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.00 Order Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.01 Order Capture,Capture customer order details into the system.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.02 Order Enrichment,Add missing data or enhancements to complete orders.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.03 Order Validation,Verify accuracy and completeness of order information.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.04 Order Status Mgmt,"Manage order status through validation, sequencing, suspension, or resumption."
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.05 Order Due Date Commitment,Commit and track due dates for order delivery.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.06 Order Modification (Supp),Handle order modifications and supplemental changes.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.07 Order Cancellation,Cancel customer orders when requested or required.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.08 Order Orchestration (Validation + Sequencing + Suspension + Resume),Coordinate and sequence order tasks across systems.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.09 Order Fallout & Recovery Mgmt (Resolution / Fallout Flow / Routing),Resolve failed orders and manage fallout recovery.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.10 Order Fulfillment Trigger,Initiate fulfillment processes from order milestones.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.11 Order Equipment Trigger,Trigger equipment processes linked to orders.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.12 Order Test & Turn-Up Trigger,Trigger test and turn-up activities for services.
3. Get,Business Operations,3.01 Order Mgmt,"Capture, validate, track, and manage customer orders through their lifecycle.",3.01.13 Order Bill Trigger,Trigger billing once the order is fulfilled.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.00 Provisioning Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.01 Coordinate Number Porting,Manage number porting requests with external providers.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.02 Provision Solution,Configure and provision services for customer solutions.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.03 Equipment Order Management,Manage orders for customer equipment procurement.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.04 Equipment Configuration,Configure equipment for service activation.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.05 Equipment Installation (crossed out in slide),[Deprecated – removed from scope] Install and set up customer equipment as part of service provisioning
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.06 Scheduling Activation Mgmt,Schedule activation of services with customer timelines.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.07 Solution Activation Mgmt,Activate services and confirm solution readiness.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.08 Test & Turn Up (TTU) Coordination,Coordinate testing and turn-up tasks with delivery teams.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.09 Test & Turn Up (TTU),Perform service test and turn-up activities.
3. Get,Business Operations,3.02 Provisioning Mgmt,"Configure and activate solutions, coordinating resources to enable service delivery.",3.02.10 Solution Testing & Acceptance Monitoring (TTU),Monitor solution testing and confirm customer acceptance.
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.00 Logistics & Distribution Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.01 3PL Management,Manage third-party logistics providers for delivery.
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.02 Warehouse & Spares Management,"Manage warehousing, spare parts, and inventory."
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.03 Pick / Pack / Ship,"Handle picking, packing, and shipping of goods."
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.04 Returns & Disposal Management,Manage product returns and disposal processes.
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.05 Logistics Tracking & Visibility Management,Provide tracking and visibility of logistics activities.
3. Get,Business Operations,3.03 Logistics & Distribution Mgmt,"Manage warehousing, shipping, tracking, and returns for equipment and materials.",3.03.06 Reverse Logistics & RMA Management,Manage reverse logistics and return merchandise authorizations.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.00 Field Installation & Construction Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.01 Work Order Management,Manage work orders for installation and construction tasks.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.02 Scheduling & Dispatch Management,Schedule and dispatch field technicians for jobs.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.03 Permitting & Special Construction Management,Handle permitting and special construction requirements.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.04 On-Site Installation & Testing Mgmt,Perform on-site installation and testing activities.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.05 Installation Verification & Completion Mgmt,Verify installation completion and service readiness.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.06 Field Resource Tracking & Reporting,Track field resources and provide progress reporting.
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.07 Field Workforce Mgmt,"Manage scheduling, assignments, and performance of field workforce."
3. Get,Business Operations,3.04 Field Installation & Construction Mgmt,"Plan, schedule, and complete on-site installations and construction work.",3.04.08 Field Operations Management,Oversee daily field operations and escalations.
3. Get,Business Operations,3.05 Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",3.05.00 Resource & Governance Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.05 Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",3.05.01 Workforce Capacity Planning & Forecasting,Plan and forecast workforce capacity for delivery needs.
3. Get,Business Operations,3.05 Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",3.05.02 Partner & Contractor Governance,Manage performance and compliance of partners and contractors.
3. Get,Business Operations,3.05 Resource & Governance Mgmt,"Oversee workforce, partner, and project governance for delivery activities.",3.05.03 Project Management,"Oversee delivery projects, timelines, and deliverables."
3. Get,Business Operations,3.06 Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",3.06.00 Design Leader/Management Role,Management level 2 and above that touch all parts of the L1 capability
3. Get,Business Operations,3.06 Design Mgmt,"Define, design, and validate customer solutions to meet requirements.",3.06.01 Customer Information & Requirement Mgmt,Collect and manage customer requirements for solution design.
